"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030106a Ullern";"1 year";369
"030106a Ullern";"2 years";416
"030106a Ullern";"3 years";401
"030106a Ullern";"4 years";388
"030106a Ullern";"5 years";359
"030106a Ullern";"6 years";351
"030106a Ullern";"7 years";392
"030106a Ullern";"8 years";384
"030106a Ullern";"9 years";421
"030106a Ullern";"10 years";382
"030106a Ullern";"11 years";419
"030106a Ullern";"12 years";411
"030106a Ullern";"13 years";399
"030106a Ullern";"14 years";439
"030106a Ullern";"15 years";400
"030106a Ullern";"16 years";411
"030106a Ullern";"17 years";428
"030106a Ullern";"18 years";406
"030106a Ullern";"19 years";336
"030106a Ullern";"20 years";356
"030106a Ullern";"21 years";305
"030106a Ullern";"22 years";331
"030106a Ullern";"23 years";339
"030106a Ullern";"24 years";328
"030106a Ullern";"25 years";344
"030106a Ullern";"26 years";433
"030106a Ullern";"27 years";437
"030106a Ullern";"28 years";453
"030106a Ullern";"29 years";454
"030106a Ullern";"30 years";495
"030106a Ullern";"31 years";525
"030106a Ullern";"32 years";531
"030106a Ullern";"33 years";534
"030106a Ullern";"34 years";549
"030106a Ullern";"35 years";578
"030106a Ullern";"36 years";559
"030106a Ullern";"37 years";505
"030106a Ullern";"38 years";473
"030106a Ullern";"39 years";510
"030106a Ullern";"40 years";502
"030106a Ullern";"41 years";494
"030106a Ullern";"42 years";480
"030106a Ullern";"43 years";499
"030106a Ullern";"44 years";505
"030106a Ullern";"45 years";478
"030106a Ullern";"46 years";428
"030106a Ullern";"47 years";453
"030106a Ullern";"48 years";512
"030106a Ullern";"49 years";485
"030106a Ullern";"50 years";458
"030106a Ullern";"51 years";482
"030106a Ullern";"52 years";447
"030106a Ullern";"53 years";432
"030106a Ullern";"54 years";439
"030106a Ullern";"55 years";413
"030106a Ullern";"56 years";421
"030106a Ullern";"57 years";416
"030106a Ullern";"58 years";445
"030106a Ullern";"59 years";448
"030106a Ullern";"60 years";398
"030106a Ullern";"61 years";385
"030106a Ullern";"62 years";366
"030106a Ullern";"63 years";397
"030106a Ullern";"64 years";368
